SVC,Guard,Guard,Forward,Forward,Center,
1st team,Russell Westbrook (6.441),James Harden (6.427),LeBron James (9.040),Kevin Durant (8.726),Anthony Davis (3.850),
2nd team,Stephen Curry (6.263),Chris Paul (4.667),Kevin Love (3.482),Giannis Antetokounmpo (3.000),DeMarcus Cousins (3.790),
3rd team,Damian Lillard (3.412),Dwyane Wade (2.569),Kawhi Leonard (2.538),Blake Griffin (2.517),Karl-Anthony Towns (2.990),
Just missed,Kyrie Irving (2.561),Nikola Jokic (2.249),Dwight Howard (1.930),Joel Embiid (1.905),Dirk Nowitzki (1.741),
,,,,,,
RF,Guard,Guard,Forward,Forward,Center,
1st team,James Harden (6.554),Chris Paul (5.326),LeBron James (8.537),Kevin Durant (7.554),Anthony Davis (3.680),
2nd team,Russell Westbrook (5.309),Stephen Curry (5.246),Blake Griffin (3.297),Kevin Love (2.989),DeMarcus Cousins (2.314),
3rd team,Damian Lillard (3.537),Dwyane Wade (2.469),Giannis Antetokounmpo (2.651),LaMarcus Aldridge (2.651),Dwight Howard (2.177),
Just missed,Carmelo Anthony (2.549),Dirk Nowitzki (2.326),Kyrie Irving (2.229),Paul George (2.223),Kobe Bryant (2.194),
,,,,,,
KNN,Guard,Guard,Forward,Forward,Center,
1st team,James Harden (6.812),Russell Westbrook (6.153),LeBron James (8.943),Kevin Durant (7.082),Anthony Davis (4.252),
2nd team,Stephen Curry (5.674),Chris Paul (4.005),Kevin Love (3.268),Giannis Antetokounmpo (3.000),DeMarcus Cousins (2.775),
3rd team,Damian Lillard (3.884),Dwyane Wade (2.731),Blake Griffin (2.512),Carmelo Anthony (2.337),Karl-Anthony Towns (2.403),
Just missed,Kyrie Irving (2.465),LaMarcus Aldridge (2.270),Kawhi Leonard (2.214),Jimmy Butler (2.054),Paul George (1.972),
,,,,,,
GBC,Guard,Guard,Forward,Forward,Center,
1st team,Chris Paul (7.774),Russell Westbrook (7.408),LeBron James (9.474),Kevin Durant (8.085),Anthony Davis (4.441),
2nd team,James Harden (6.869),Stephen Curry (6.374),LaMarcus Aldridge (3.413),Kevin Love (3.290),Karl-Anthony Towns (2.678),
3rd team,Damian Lillard (4.128),Dwyane Wade (2.810),Blake Griffin (2.948),Giannis Antetokounmpo (2.876),DeMarcus Cousins (2.542),
Just missed,Paul George (2.481),Deron Williams (2.446),Kyle Lowry (2.370),Dirk Nowitzki (2.358),Kawhi Leonard (2.272),
,,,,,,
Average,Guard,Guard,Forward,Forward,Center,
1st team,James Harden (6.665),Russell Westbrook (6.328),LeBron James (8.998),Kevin Durant (7.862),Anthony Davis (4.056),
2nd team,Stephen Curry (5.889),Chris Paul (5.443),Kevin Love (3.257),Giannis Antetokounmpo (2.882),DeMarcus Cousins (2.855),
3rd team,Damian Lillard (3.740),Dwyane Wade (2.644),Blake Griffin (2.819),LaMarcus Aldridge (2.382),Karl-Anthony Towns (2.559),
Just missed,Kyrie Irving (2.346),Kawhi Leonard (2.217),Carmelo Anthony (2.196),Dirk Nowitzki (1.967),Paul George (1.948),
,,,,,,
Maximum,Guard,Guard,Forward,Forward,Center,
1st team,"James Harden, 2014 (0.986)","James Harden, 2016 (0.986)","Kevin Durant, 2013 (0.995)","LeBron James, 2013 (0.990)","Anthony Davis, 2016 (0.934)",
2nd team,"Russell Westbrook, 2015 (0.982)","James Harden, 2013 (0.971)","LeBron James, 2017 (0.984)","Kevin Love, 2013 (0.980)","Nikola Jokic, 2018 (0.911)",
3rd team,"Dwyane Wade, 2010 (0.970)","Stephen Curry, 2013 (0.968)","LeBron James, 2015 (0.980)","Jimmy Butler, 2016 (0.977)","Karl-Anthony Towns, 2017 (0.886)",
Just missed,"Kevin Durant, 2009 (0.975)","LeBron James, 2012 (0.974)","Kevin Durant, 2012 (0.974)","LeBron James, 2010 (0.969)","Giannis Antetokounmpo, 2017 (0.967)",
